class,mean,median,max,min,90percentile,std,notnans
class0,0.0002,0.0001,0.0018,0.0000,0.0002,0.0004,20.0000
class1,0.0001,0.0001,0.0002,0.0000,0.0001,0.0000,20.0000
class2,0.0001,0.0001,0.0006,0.0000,0.0001,0.0001,20.0000
class3,0.0000,0.0000,0.0002,0.0000,0.0001,0.0000,20.0000
class4,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,20.0000
class5,0.0022,0.0003,0.0223,0.0001,0.0031,0.0057,20.0000
class6,0.0007,0.0002,0.0056,0.0000,0.0013,0.0012,20.0000
class7,0.0001,0.0001,0.0001,0.0000,0.0001,0.0000,20.0000
class8,0.0001,0.0001,0.0005,0.0000,0.0004,0.0001,20.0000
class9,0.0002,0.0001,0.0012,0.0000,0.0005,0.0003,20.0000
class10,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,20.0000
class11,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,20.0000
class12,0.0002,0.0001,0.0007,0.0000,0.0004,0.0002,20.0000
class13,0.0002,0.0001,0.0024,0.0000,0.0003,0.0005,20.0000
class14,0.0001,0.0001,0.0006,0.0000,0.0002,0.0001,20.0000
mean,0.0003,0.0001,0.0021,0.0001,0.0004,0.0005,20.0000
